86.66.198.95;[22/Sep/2014:02:46:59 -0400];"GET /txn131/graphcoloring.html HTTP/1.1";42896
86.66.198.95;[22/Sep/2014:02:47:00 -0400];"GET /favicon.ico HTTP/1.1";1150
86.66.198.95;[22/Sep/2014:02:47:05 -0400];"GET /favicon.ico HTTP/1.1";1150
91.207.7.165;[22/Sep/2014:03:29:20 -0400];"GET /Ada/lovelace/about.ps HTTP/1.0";82305
198.200.32.237;[22/Sep/2014:04:00:12 -0400];"GET /mspapers/sources/xuhui-lu.pdf HTTP/1.0";827735
198.200.32.237;[22/Sep/2014:04:00:13 -0400];"GET / HTTP/1.0";13520
121.44.128.173;[22/Sep/2014:05:21:44 -0400];"GET /txn131/clique.html HTTP/1.1";17943
121.44.128.173;[22/Sep/2014:05:21:44 -0400];"GET /favicon.ico HTTP/1.1";1150
121.44.128.173;[22/Sep/2014:05:21:44 -0400];"GET /favicon.ico HTTP/1.1";1150
202.46.62.90;[22/Sep/2014:07:14:37 -0400];"GET / HTTP/1.1";13520
24.54.137.166;[22/Sep/2014:08:20:13 -0400];"GET /cs/cs-prereq-before-2010.png HTTP/1.1";97291
202.46.48.29;[22/Sep/2014:09:15:39 -0400];"GET / HTTP/1.1";13520
146.186.64.192;[22/Sep/2014:10:19:58 -0400];"GET /cmpsc444/VM_CMPSC444_v1.zip HTTP/1.1";1269747848
59.93.160.251;[22/Sep/2014:11:06:21 -0400];"GET /courses/comp419.taw.s97/rdesign3.html HTTP/1.1";21372
59.93.160.251;[22/Sep/2014:11:06:22 -0400];"GET /courses/comp419.taw.s97/rdesign3/img1.gif HTTP/1.1";126
59.93.160.251;[22/Sep/2014:11:06:22 -0400];"GET /courses/comp419.taw.s97/rdesign3/img2.gif HTTP/1.1";80
59.93.160.251;[22/Sep/2014:11:06:22 -0400];"GET /courses/comp419.taw.s97/rdesign3/img3.gif HTTP/1.1";93
59.93.160.251;[22/Sep/2014:11:06:22 -0400];"GET /courses/comp419.taw.s97/rdesign3/img7.gif HTTP/1.1";62
59.93.160.251;[22/Sep/2014:11:06:22 -0400];"GET /courses/comp419.taw.s97/rdesign3/img8.gif HTTP/1.1";84
59.93.160.251;[22/Sep/2014:11:06:22 -0400];"GET /courses/comp419.taw.s97/rdesign3/img4.gif HTTP/1.1";104
59.93.160.251;[22/Sep/2014:11:06:22 -0400];"GET /courses/comp419.taw.s97/rdesign3/img5.gif HTTP/1.1";126
59.93.160.251;[22/Sep/2014:11:06:22 -0400];"GET /courses/comp419.taw.s97/rdesign3/img6.gif HTTP/1.1";55
59.93.160.251;[22/Sep/2014:11:06:22 -0400];"GET /courses/comp419.taw.s97/rdesign3/img9.gif HTTP/1.1";192
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img10.gif HTTP/1.1";125
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img12.gif HTTP/1.1";130
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img13.gif HTTP/1.1";105
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img11.gif HTTP/1.1";60
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img14.gif HTTP/1.1";60
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img15.gif HTTP/1.1";81
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img17.gif HTTP/1.1";90
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img16.gif HTTP/1.1";87
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img19.gif HTTP/1.1";75
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img18.gif HTTP/1.1";87
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img20.gif HTTP/1.1";157
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img21.gif HTTP/1.1";64
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img22.gif HTTP/1.1";115
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img24.gif HTTP/1.1";80
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img23.gif HTTP/1.1";74
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img25.gif HTTP/1.1";124
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img26.gif HTTP/1.1";77
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img27.gif HTTP/1.1";147
59.93.160.251;[22/Sep/2014:11:06:23 -0400];"GET /courses/comp419.taw.s97/rdesign3/img28.gif HTTP/1.1";148
59.93.160.251;[22/Sep/2014:11:06:24 -0400];"GET /favicon.ico HTTP/1.1";1150
180.76.6.45;[22/Sep/2014:11:51:01 -0400];"GET /LOCAL/lovelace/occupanb.htm HTTP/1.1";5528
122.200.66.102;[22/Sep/2014:12:36:04 -0400];"GET /comp512/sid-ron-prop.pdf HTTP/1.1";436428
207.71.33.174;[22/Sep/2014:13:17:46 -0400];"GET /~null/ HTTP/1.1";9353
207.71.33.174;[22/Sep/2014:13:17:46 -0400];"GET /~null/ecoa4e.jpg HTTP/1.1";13754
207.71.33.174;[22/Sep/2014:13:17:46 -0400];"GET /~null/texty_logo.jpg HTTP/1.1";23929
207.71.33.174;[22/Sep/2014:13:17:46 -0400];"GET /~null/granite3.jpg HTTP/1.1";40348
207.71.33.174;[22/Sep/2014:13:17:46 -0400];"GET /favicon.ico HTTP/1.1";1150
71.207.61.253;[22/Sep/2014:13:51:17 -0400];"GET /comp594/ HTTP/1.1";7013
71.207.61.253;[22/Sep/2014:13:51:21 -0400];"GET /comp594/papers.html HTTP/1.1";4675
180.76.5.28;[22/Sep/2014:13:51:38 -0400];"GET /benchmarks/file_instances/clique/DIMACS_cliques/p_hat300-1.clq.b HTTP/1.1";6376
130.203.97.170;[22/Sep/2014:14:30:03 -0400];"GET /favicon.ico HTTP/1.1";1150
130.203.97.170;[22/Sep/2014:14:30:03 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.64.192;[22/Sep/2014:15:05:38 -0400];"GET / HTTP/1.1";13520
146.186.64.192;[22/Sep/2014:15:05:38 -0400];"GET /index-style.css HTTP/1.1";1498
146.186.64.192;[22/Sep/2014:15:05:38 -0400];"GET /graphics/logo16.png HTTP/1.1";38873
146.186.64.192;[22/Sep/2014:15:05:38 -0400];"GET /graphics/Shield.gif HTTP/1.1";1510
146.186.64.192;[22/Sep/2014:15:05:38 -0400];"GET /switch-menu.js HTTP/1.1";2685
146.186.64.192;[22/Sep/2014:15:05:38 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.64.192;[22/Sep/2014:15:05:48 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
146.186.64.192;[22/Sep/2014:15:05:48 -0400];"GET /cs/cs-style.css HTTP/1.1";795
66.71.3.17;[22/Sep/2014:15:24:44 -0400];"GET /cs/cs-style.css HTTP/1.1";795
66.71.3.17;[22/Sep/2014:15:24:44 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
